threshold,tp,fp,fn,precision,recall,f1
0.1,12669,185977,3,0.06377676872426326,0.9997632575757576,0.11990459875637664
0.15,12260,152554,412,0.07438688460931717,0.9674873737373737,0.13815174154581206
0.2,11611,110911,1061,0.09476665415190741,0.9162720959595959,0.17176797786884032
0.25,11080,84867,1592,0.11548042148269357,0.8743686868686869,0.20401587199292942
0.3,10819,74744,1853,0.12644484181246568,0.8537720959595959,0.2202677253524711
0.35,9669,34774,3003,0.2175595706860473,0.7630208333333334,0.33858005777816685
0.4,9559,31324,3113,0.23381356554068927,0.7543402777777778,0.3569788068340958
0.45,9342,24175,3330,0.2787242294954799,0.7372159090909091,0.4045118967719587
0.5,9309,23179,3363,0.28653656734794386,0.7346117424242424,0.41226749335695306
0.55,9089,21345,3583,0.29864625090359465,0.7172506313131313,0.4217046350856029
0.6,9059,20199,3613,0.3096247180258391,0.7148832070707071,0.43210112091581204
0.65,8929,18800,3743,0.3220094485917271,0.7046243686868687,0.44201876191183387
0.7,8771,17687,3901,0.33150653866505403,0.6921559343434344,0.4483005366726297
0.75,8108,13859,4564,0.3690991032002549,0.6398358585858586,0.46814284477034557
0.8,7362,10708,5310,0.4074156059767571,0.5809659090909091,0.4789538741786481
0.85,6037,7236,6635,0.4548331198674,0.4764046717171717,0.4653690499132781
0.9,4469,4406,8203,0.5035492957746479,0.35266729797979796,0.41481412725669464
